161 >expected=15.540000, predicted=15.417857
162 >expected=15.670000, predicted=15.662693
163 >expected=15.710000, predicted=15.666201
164 >expected=16.040000, predicted=15.925391
165 >expected=16.140000, predicted=15.962752
166 >expected=15.830000, predicted=16.045801
167 >expected=15.870000, predicted=15.699937
168 >expected=15.850000, predicted=15.863654
169 >expected=15.600000, predicted=15.705289
170 >expected=14.880000, predicted=14.993997
171 >expected=14.350000, predicted=14.710809
172 >expected=14.410000, predicted=14.345710
173 >expected=14.490000, predicted=14.375731
174 >expected=14.520000, predicted=14.433063
175 >expected=14.540000, predicted=14.398761
176 >expected=14.690000, predicted=14.544214
177 >expected=14.360000, predicted=14.534374
178 >expected=14.120000, predicted=14.202229
179 >expected=13.610000, predicted=13.740106
180 >expected=13.510000, predicted=13.702762
181 >expected=13.580000, predicted=13.779519
182 >expected=13.300000, predicted=13.395592
183 >expected=12.800000, predicted=13.125556
184 >expected=12.550000, predicted=12.630997
185 >expected=12.650000, predicted=12.295381
186 >expected=12.120000, predicted=12.165093
187 >expected=11.770000, predicted=11.883028
188 >expected=11.740000, predicted=11.724775
189 >expected=11.570000, predicted=11.601489
190 >expected=11.290000, predicted=11.424431
191 >expected=11.900000, predicted=11.678731
192 >expected=11.470000, predicted=11.710040
193 >expected=11.650000, predicted=11.456884
194 >expected=11.900000, predicted=11.853210
195 >expected=11.550000, predicted=11.586166
196 >expected=11.810000, predicted=11.700822
197 >expected=12.040000, predicted=12.111653
198 >expected=12.100000, predicted=12.155980
199 >expected=12.020000, predicted=11.877722
200 >expected=11.910000, predicted=11.721833
201 >expected=12.410000, predicted=12.192382
202 >expected=12.700000, predicted=12.607168
203 >expected=12.800000, predicted=12.887785
204 >expected=12.770000, predicted=12.889199
205 >expected=12.500000, predicted=12.648056
206 >expected=12.890000, predicted=12.648413
207 >expected=12.670000, predicted=12.653387
208 >expected=12.280000, predicted=12.577878
209 >expected=11.890000, predicted=12.105963
210 >expected=11.790000, predicted=11.842918
211 >expected=11.950000, predicted=11.895592
212 >expected=11.660000, predicted=11.828608
213 >expected=11.540000, predicted=11.396812
214 >expected=11.490000, predicted=11.469874
215 >expected=11.610000, predicted=11.691930
216 >expected=11.450000, predicted=11.418447
217 >expected=11.550000, predicted=11.472794
218 >expected=11.490000, predicted=11.530973
219 >expected=11.650000, predicted=11.529991
220 >expected=11.580000, predicted=11.726181
221 >expected=11.600000, predicted=11.650876
222 >expected=11.600000, predicted=11.723946
223 >expected=11.270000, predicted=11.503538
224 >expected=10.950000, predicted=11.035944
225 >expected=10.960000, predicted=10.744050
226 >expected=11.190000, predicted=11.079244
227 >expected=11.080000, predicted=11.050265
228 >expected=11.270000, predicted=11.071910
229 >expected=11.110000, predicted=11.024592
230 >expected=11.360000, predicted=11.279985
231 >expected=11.440000, predicted=11.443838
232 >expected=10.770000, predicted=10.880307
233 >expected=10.540000, predicted=10.624904
234 >expected=10.280000, predicted=10.622241
235 >expected=10.280000, predicted=10.233753
236 >expected=10.030000, predicted=10.234765
237 >expected=10.270000, predicted=10.367242
238 >expected=10.210000, predicted=10.430971
239 >expected=10.540000, predicted=10.310034
240 >expected=11.010000, predicted=10.669447
241 >expected=10.720000, predicted=10.805061
242 >expected=10.730000, predicted=10.644366
243 >expected=10.730000, predicted=10.785260
244 >expected=10.880000, predicted=10.807660
245 >expected=11.260000, predicted=11.083619
246 >expected=11.090000, predicted=11.318946
247 >expected=10.870000, predicted=10.991339
248 >expected=10.800000, predicted=10.785902
249 >expected=11.160000, predicted=10.809980
250 >expected=11.900000, predicted=11.724223
251 >expected=12.070000, predicted=11.974831
252 >expected=12.450000, predicted=12.102776
253 >expected=12.250000, predicted=12.409856
254 >expected=12.370000, predicted=12.491817
255 >expected=12.150000, predicted=12.053774
256 >expected=13.100000, predicted=12.633920
257 >expected=13.200000, predicted=13.053195
258 >expected=13.120000, predicted=13.131723
259 >expected=12.870000, predicted=12.900496
260 >expected=12.850000, predicted=12.819329
261 >expected=12.510000, predicted=12.552522
262 >expected=12.300000, predicted=12.389480
263 >expected=12.430000, predicted=12.361129
264 >expected=12.460000, predicted=12.528046
265 >expected=12.770000, predicted=12.679234
266 >expected=12.430000, predicted=12.554344
267 >expected=12.340000, predicted=12.480355
268 >expected=12.190000, predicted=12.169188
269 >expected=11.850000, predicted=12.110456
270 >expected=12.100000, predicted=11.855250
271 >expected=12.640000, predicted=12.738749
272 >expected=12.850000, predicted=12.814890
273 >expected=12.390000, predicted=12.413152
274 >expected=13.000000, predicted=12.755142
275 >expected=12.950000, predicted=13.114028
276 >expected=13.240000, predicted=13.145480
277 >expected=12.880000, predicted=13.036148
278 >expected=12.780000, predicted=12.792871
279 >expected=12.560000, predicted=12.774626
280 >expected=12.380000, predicted=12.489039
281 >expected=13.220000, predicted=12.590156
282 >expected=13.640000, predicted=13.642239
283 >expected=13.320000, predicted=13.407492
284 >expected=13.440000, predicted=13.302948
285 >expected=13.390000, predicted=13.245880
286 >expected=12.740000, predicted=13.025877
287 >expected=12.750000, predicted=12.900142
288 >expected=12.850000, predicted=12.577314
289 >expected=12.600000, predicted=12.474030
290 >expected=13.050000, predicted=12.960586
291 >expected=13.880000, predicted=13.891855
292 >expected=14.480000, predicted=14.495596
293 >expected=14.730000, predicted=14.420461
294 >expected=14.830000, predicted=14.623439
295 >expected=14.800000, predicted=14.671826
296 >expected=14.840000, predicted=14.780091
297 >expected=14.350000, predicted=14.421048
298 >expected=13.900000, predicted=13.982450
299 >expected=13.890000, predicted=13.828799
300 >expected=14.150000, predicted=14.224656
301 >expected=14.000000, predicted=14.141153
302 >expected=14.250000, predicted=13.957324
303 >expected=14.000000, predicted=14.161975
304 >expected=14.610000, predicted=14.502460
305 >expected=14.040000, predicted=14.286325
306 >expected=13.850000, predicted=14.008107
307 >expected=13.180000, predicted=13.481198
308 >expected=13.880000, predicted=13.832113
309 >expected=14.180000, predicted=13.918131
310 >expected=15.040000, predicted=14.450930
311 >expected=15.120000, predicted=14.914004
312 >expected=15.380000, predicted=14.957902
313 >expected=15.600000, predicted=15.659711
314 >expected=15.300000, predicted=15.460575
315 >expected=15.330000, predicted=15.334949
316 >expected=15.240000, predicted=15.323039
317 >expected=13.310000, predicted=14.297916
318 >expected=12.580000, predicted=13.068579
319 >expected=12.470000, predicted=12.641389
320 >expected=12.400000, predicted=12.600307
321 >expected=11.650000, predicted=11.622774
322 >expected=11.870000, predicted=12.142030
323 >expected=12.030000, predicted=12.220352
324 >expected=11.990000, predicted=12.076485
325 >expected=11.990000, predicted=12.126431
326 >expected=12.660000, predicted=12.450032
327 >expected=12.050000, predicted=12.181725
328 >expected=12.080000, predicted=12.175163
329 >expected=12.550000, predicted=12.399966
330 >expected=12.730000, predicted=12.593738
331 >expected=12.410000, predicted=12.461479
332 >expected=12.700000, predicted=12.879364
333 >expected=12.150000, predicted=12.505453
334 >expected=12.180000, predicted=12.114640
335 >expected=12.250000, predicted=12.290783
336 >expected=11.740000, predicted=11.965816
337 >expected=11.740000, predicted=11.813934
338 >expected=11.450000, predicted=11.374760
339 >expected=11.390000, predicted=11.775742
340 >expected=11.780000, predicted=11.706700
341 >expected=11.530000, predicted=11.714699
342 >expected=11.360000, predicted=11.436491
343 >expected=12.090000, predicted=11.912666
344 >expected=12.620000, predicted=12.516521
345 >expected=12.560000, predicted=12.753611
346 >expected=12.320000, predicted=12.399545
347 >expected=13.350000, predicted=13.146608
348 >expected=13.420000, predicted=13.287406
349 >expected=12.950000, predicted=13.205724
350 >expected=13.400000, predicted=13.093894
351 >expected=13.210000, predicted=13.222493
352 >expected=12.250000, predicted=12.692072
353 >expected=11.840000, predicted=11.995854
354 >expected=11.930000, predicted=11.992336
355 >expected=12.300000, predicted=12.168670
356 >expected=12.590000, predicted=12.691154
357 >expected=12.420000, predicted=12.299428
358 >expected=12.860000, predicted=12.759785
359 >expected=13.450000, predicted=13.274159
360 >expected=13.370000, predicted=13.340811
361 >expected=13.160000, predicted=13.104143
362 >expected=12.950000, predicted=13.043473
363 >expected=13.010000, predicted=12.892053
364 >expected=13.080000, predicted=13.388964
365 >expected=12.970000, predicted=12.818802
366 >expected=12.770000, predicted=12.777122
367 >expected=12.650000, predicted=12.604348
368 >expected=12.840000, predicted=12.718640
369 >expected=13.110000, predicted=12.927385
370 >expected=13.120000, predicted=13.061709
371 >expected=12.710000, predicted=12.931702
372 >expected=12.870000, predicted=12.785407
373 >expected=12.960000, predicted=13.022063
374 >expected=12.910000, predicted=12.766040
375 >expected=13.000000, predicted=13.005739
376 >expected=12.110000, predicted=12.327160
377 >expected=12.110000, predicted=11.844663
378 >expected=11.890000, predicted=11.772877
379 >expected=12.120000, predicted=12.135671
380 >expected=11.650000, predicted=11.979432
381 >expected=11.800000, predicted=11.664042
382 >expected=11.920000, predicted=11.817407
383 >expected=11.440000, predicted=11.693035
384 >expected=11.590000, predicted=11.503062
385 >expected=11.370000, predicted=11.073768
386 >expected=11.030000, predicted=11.124838
387 >expected=10.850000, predicted=10.722594
388 >expected=10.780000, predicted=10.815549
389 >expected=10.390000, predicted=10.704066
390 >expected=10.560000, predicted=10.457832
391 >expected=10.550000, predicted=10.517286
392 >expected=10.500000, predicted=10.443453
393 >expected=10.590000, predicted=10.786054
394 >expected=10.520000, predicted=10.505569
395 >expected=10.960000, predicted=10.853995
396 >expected=11.050000, predicted=11.228068
397 >expected=11.650000, predicted=11.505137
398 >expected=11.580000, predicted=11.669234
399 >expected=11.260000, predicted=11.434206
400 >expected=11.350000, predicted=11.107812
401 >expected=11.440000, predicted=11.655062
402 >expected=11.540000, predicted=11.521601
403 >expected=11.860000, predicted=11.778732
404 >expected=11.300000, predicted=11.462960
405 >expected=11.180000, predicted=11.400708
406 >expected=11.170000, predicted=11.241365
407 >expected=11.040000, predicted=11.158893
408 >expected=10.420000, predicted=10.695829
409 >expected=10.560000, predicted=10.475057
410 >expected=10.590000, predicted=10.735034
411 >expected=10.680000, predicted=10.677754
412 >expected=10.530000, predicted=10.473324
413 >expected=10.800000, predicted=10.787342
414 >expected=10.350000, predicted=10.712255
415 >expected=10.580000, predicted=10.474069
416 >expected=10.830000, predicted=10.900268
417 >expected=10.790000, predicted=10.833921
418 >expected=10.700000, predicted=10.836768
419 >expected=10.910000, predicted=11.054985
420 >expected=11.630000, predicted=11.437819
421 >expected=11.860000, predicted=12.049491
422 >expected=11.740000, predicted=11.594217
423 >expected=11.970000, predicted=11.763166
424 >expected=12.020000, predicted=11.926322
425 >expected=11.890000, predicted=11.846078
426 >expected=11.590000, predicted=11.634650
427 >expected=11.660000, predicted=11.645269
428 >expected=11.760000, predicted=11.811170
429 >expected=11.800000, predicted=11.701088
430 >expected=11.250000, predicted=11.442918
431 >expected=11.480000, predicted=11.476912
432 >expected=11.680000, predicted=11.534934
433 >expected=11.330000, predicted=11.401670
434 >expected=11.510000, predicted=11.485180
435 >expected=11.830000, predicted=11.925394
436 >expected=12.490000, predicted=12.355988
437 >expected=12.440000, predicted=12.629963
